waste_type,waste_disposed_of_tonne,total_waste_recycled_tonne,total_waste_generated_tonne,recycling_rate,year
Glass,51400,21400,72800,0.289999992,2011
Textile/Leather,113700,17300,131000,0.129999995,2011
Scrap Tyres,3700,18300,22000,0.829999983,2011
"Others (stones, ceramics & rubber etc)",325200,3200,328400,0.01,2011
Food waste,618100,85100,703200,0.119999997,2012
Paper/Cardboard,555300,696700,1252000,0.560000002,2012
Plastics,721300,82100,803400,0.100000001,2012
Construction Debris,9100,1282700,1291800,0.99000001,2012
Wood/Timber,107800,236000,343800,0.689999998,2012
Horticultural Waste,139800,108000,247800,0.439999998,2012
Ferrous Metal,54800,1331200,1386000,0.959999979,2012
Non-ferrous Metals,25200,97300,122500,0.790000021,2012
Used Slag,9800,358000,367800,0.970000029,2012
Sludge,160200,0,160200,0,2012
Glass,55400,19500,74900,0.25999999,2012
Textile/Leather,141000,18300,159300,0.109999999,2012
Scrap Tyres,2300,16100,18400,0.879999995,2012
"Others (stones, ceramics & rubber etc)",333800,4600,338400,0.01,2012
Food waste,696000,100000,796000,0.129999995,2013
Paper/Cardboard,581700,679400,1261100,0.540000021,2013
Plastics,741100,91100,832200,0.109999999,2013
Construction Debris,12300,1683000,1695300,0.99000001,2013
Wood/Timber,77800,254600,332400,0.769999981,2013
Horticultural Waste,131700,120900,252600,0.479999989,2013
Ferrous Metal,46800,1369200,1416000,0.970000029,2013
Non-ferrous Metals,21100,114000,135100,0.839999974,2013
Used Slag,8900,344800,353700,0.970000029,2013
Sludge,176400,14200,190600,0.07,2013
Glass,58900,14600,73500,0.200000003,2013
Textile/Leather,140300,16300,156600,0.100000001,2013
Scrap Tyres,2600,19000,21600,0.879999995,2013
"Others (stones, ceramics & rubber etc)",330000,4800,334800,0.01,2013
Food,687200,101400,788600,0.129999995,2014
Paper/Cardboard,590800,646500,1237400,0.519999981,2014
Plastics,789000,80000,869000,0.090000004,2014
C&D,9700,1260000,1269700,0.99000001,2014
Horticultural waste,115300,163000,278300,0.589999974,2014
Wood,74500,293400,367900,0.800000012,2014
Ferrous metal,57000,1388900,1445900,0.959999979,2014
Non-ferrous metal,23700,94700,118400,0.800000012,2014
Used slag,5100,361200,366300,0.99000001,2014
Ash & Sludge,126800,21700,148500,0.150000006,2014
Glass,63800,15700,79500,0.200000003,2014
Textile/Leather,141800,16800,158600,0.109999999,2014
Scrap tyres,3100,23100,26200,0.879999995,2014
"Others (stones, ceramics & rubber etc)",355600,4700,360100,0.01,2014
Food,681400,104100,785500,0.129999995,2015
Paper/Cardboard,588500,603700,1192200,0.50999999,2015
Plastics,766800,57800,824600,0.07,2015
C&D,8900,1402900,1411800,0.99000001,2015
Horticultural waste,124800,237200,362000,0.660000026,2015
Wood,76900,293700,370600,0.790000021,2015
Ferrous metal,15200,1333300,1348500,0.99000001,2015
Non-ferrous metal,19600,160400,180000,0.889999986,2015
Used slag,4100,365800,369900,0.99000001,2015
Ash & Sludge,170800,25200,196000,0.129999995,2015
Glass,60600,14600,75200,0.189999998,2015
Textile/Leather,144200,12500,156700,0.079999998,2015
Scrap tyres,2700,32800,35500,0.920000017,2015
"Others (stones, ceramics & rubber etc)",359300,5700,365000,0.02,2015
Food,679900,111100,791000,0.140000001,2016
Paper/Cardboard,576000,607100,1183100,0.50999999,2016
Plastics,762700,59500,822200,0.07,2016
C&D,9700,1585700,1595400,0.99000001,2016
Horticultural waste,111500,209000,320500,0.649999976,2016
Wood,119100,411600,530700,0.779999971,2016
Ferrous metal,6000,1351500,1357500,0.99000001,2016
Non-ferrous metal,1300,95900,97200,0.99000001,2016
Used slag,4100,247000,251100,0.980000019,2016
Ash & Sludge,199000,28300,227300,0.129999995,2016
Glass,57600,14700,72300,0.200000003,2016
Textile/Leather,139800,10900,150700,0.07,2016
Scrap tyres,3000,29700,32700,0.910000026,2016
"Others (stones, ceramics & rubber etc.)",375500,7000,382500,0.02,2016
Construction debris,9400,1599900,1609300,0.99000001,2017
Ferrous metal,7800,1371000,1378800,0.99000001,2017
Used slag,3100,269400,272500,0.99000001,2017
Non-ferrous metals,1500,92200,93700,0.980000019,2017
Scrap tyres,2900,33000,35900,0.920000017,2017
Wood,97300,326800,424100,0.769999981,2017
Horticultural waste,107600,220700,328300,0.670000017,2017
Paper/Cardboard,576000,568800,1144800,0.5,2017
Glass,58900,12400,71300,0.170000002,2017
Food,676800,133000,809800,0.159999996,2017
Ash and sludge,214800,28600,243400,0.119999997,2017
Plastic,763400,51800,815200,0.059999999,2017
Textile/Leather,141200,9600,150800,0.059999999,2017
"Others (stones, ceramic, rubber, etc.)",319300,7100,326400,0.02,2017
Construction& Demolition,1624000,1618000,6000,0.996305419,2018
Ferrous Metal,1269000,126000,1143000,0.09929078,2018
Paper/Cardboard,1054000,586000,468000,0.55597723,2018
Plastics,949000,41000,908000,0.043203372,2018
Food,763000,126000,637000,0.165137615,2018
Wood,521000,428000,93000,0.821497121,2018
Horticultural,320000,227000,93000,0.709375,2018
Ash & Sludge,240000,25000,215000,0.104166667,2018
Textile/Leather,220000,14000,206000,0.063636364,2018
Used Slag,181000,179000,2000,0.988950276,2018
Non-Ferrous Metal,171000,170000,1000,0.994152047,2018
Glass,64000,12000,52000,0.1875,2018
Scrap Tyres,32000,29000,3000,0.90625,2018
"Others (stones, ceramic, rubber, ect)",286000,11000,275000,0.038461538,2018
Construction& Demolition,1440000,1434000,6000,0.995833333,2019
Ferrous Metal,1278000,1270000,8000,0.993740219,2019
Paper/Cardboard,1011000,449000,562000,0.444114738,2019
Plastics,930000,37000,893000,0.039784946,2019
Food,7440000,136000,7304000,0.01827957,2019
Wood,438000,289000,149000,0.659817352,2019
Horticultural,400000,293000,107000,0.7325,2019
Ash & Sludge,252000,25000,227000,0.099206349,2019
Textile/Leather,168000,6000,162000,0.035714286,2019
Used Slag,129000,127000,2000,0.984496124,2019
Non-Ferrous Metal,126000,124000,2000,0.984126984,2019
Glass,75000,11000,64000,0.146666667,2019
Scrap Tyres,33000,31000,2000,0.939393939,2019
"Others (stones, ceramic, rubber, ect)",210000,15000,195000,0.071428571,2019
Paper/Cardboard,1144000,432000,712000,0.377622378,2020
Ferrous metal,934000,930000,4000,0.995717345,2020
Plastics,868000,36000,832000,0.041474654,2020
Construction & Demolition,825000,822000,3000,0.996363636,2020
Food,665000,126000,539000,0.189473684,2020
Horticultural,313000,249000,64000,0.795527157,2020
Wood,304000,195000,109000,0.641447368,2020
Ash & sludge,228000,16000,212000,0.070175439,2020
Textile/Leather,137000,6000,131000,0.04379562,2020
Used slag,106000,104000,2000,0.981132075,2020
Non-ferrous metal,75000,73000,2000,0.973333333,2020
Glass,66000,7000,59000,0.106060606,2020
Scrap tyres,23000,22000,1000,0.956521739,2020
"Others (stones, ceramics, etc.)",193000,21000,172000,0.10880829,2020
